"flag","content",
"$TITLE_START_LABEL","commencer",
"$TITLE_PRESS_LABEL","choisissez votre niveau",
"$TITLE_GAMEOVER","JEU TERMINÉ",
"$TITLE_MESSAGE_DEFAULT","TEMPS 99",
"$TITLE_MESSAGE_INPUT","Entrez votre nom:",
"$TITLE_MESSAGE_TIME","TEMPS",
"$TITLE_MESSAGE_OK","d'accord",
"$TITLE_SCORERANKING","CLASSEMENT DES SCORE",
"$TITLE_MAINMENU","Menu principal",
"$TITLE_LEADERBOARD","Classement",
"$TITLE_HIGHSCORE","Score élevé",
"$TITLE_SCORE","Score",
"$TITLE_LEVEL","Niveau",
"$LEVEL_ROADS","route",
"$LEVEL_WATER","eau",
"$LEVEL_CAVES","grotte",
"$LEVEL_CLASSIC","classique",
"$SAVE_SLOT_TIME","10 hours, 15 min",
"$SAVE_SLOT_DATE","January 1, 1970",
"$MENU_THING_1","Thing 1",
"$MENU_THING_2","Thing 2",
"$MENU_1_FISH","One Fish",
"$MENU_2_FISH","Two Fish",
"$MENU_RED_FISH","Red Fish",
"$MENU_BLUE_FISH","Blue Fish",
"$MENU_TAB_1","Tab 1",
"$MENU_TAB_2","Tab 2",
"$MENU_TAB_3","Tab 3",
"$MENU_TAB_4","Tab 4",
"$MENU_TOGGLE","Toggle",
"$MENU_DROPDOWN","Drop-down",
"$DEFAULT_DESC","The widgets you see here use ONLY default FlxUI Assets!",
"$CODE_DESC","The widgets you see here were created with code and no xml file!",
"$MISC_BACK","Back",
"$POPUP_YES","Yes",
"$POPUP_NO","No",
"$POPUP_CANCEL","Cancel",
"$POPUP_OK","Ok",
"$POPUP_BACK","Back",
"$POPUP_CLOSE","Close",
"$POPUP_BTN_2ND_POPUP","OK, bien sûr",
"$POPUP_BTN_2_BUTTONS","non merci",
"$POPUP_DEMO_0_TITLE","continuer?",
"$POPUP_DEMO_0_BODY","regarder la vidéo pour une vie supplémentaire ?",
"$POPUP_DEMO_1_TITLE","Popup - Demo 1",
"$POPUP_DEMO_1_BODY","A single pop-up instance can contain multiple layouts.",
"$POPUP_SIMPLE_TITLE","Another Popup!",
"$POPUP_SIMPLE_BODY","You can open multiple pop-ups!",
"$POPUP_DEMO_2_TITLE","Popup - Demo 2",
"$POPUP_DEMO_2_BODY","This popup uses FlxUIAsset's 'default_popup.xml' file",
