"flag","content",
"$TITLE_START_LABEL","始める",
"$TITLE_PRESS_LABEL","レベルを選択してください",
"$TITLE_GAMEOVER","ゲームオーバー",
"$TITLE_MESSAGE_DEFAULT","タイム 99",
"$TITLE_MESSAGE_INPUT","あなたの名前を入力:",
"$TITLE_MESSAGE_TIME","タイム",
"$TITLE_MESSAGE_OK","よし",
"$TITLE_SCORERANKING","スコアランキング",
"$TITLE_MAINMENU","メインメニュー",
"$TITLE_LEADERBOARD","リーダーボード",
"$TITLE_HIGHSCORE","高得点",
"$TITLE_SCORE","スコア",
"$TITLE_LEVEL","レベル",
"$LEVEL_ROADS","道路",
"$LEVEL_WATER","水",
"$LEVEL_CAVES","洞窟",
"$LEVEL_CLASSIC","クラシック",
"$SAVE_SLOT_TIME","10 hours, 15 min",
"$SAVE_SLOT_DATE","January 1, 1970",
"$MENU_THING_1","Thing 1",
"$MENU_THING_2","Thing 2",
"$MENU_1_FISH","One Fish",
"$MENU_2_FISH","Two Fish",
"$MENU_RED_FISH","Red Fish",
"$MENU_BLUE_FISH","Blue Fish",
"$MENU_TAB_1","Tab 1",
"$MENU_TAB_2","Tab 2",
"$MENU_TAB_3","Tab 3",
"$MENU_TAB_4","Tab 4",
"$MENU_TOGGLE","Toggle",
"$MENU_DROPDOWN","Drop-down",
"$DEFAULT_DESC","The widgets you see here use ONLY default FlxUI Assets!",
"$CODE_DESC","The widgets you see here were created with code and no xml file!",
"$MISC_BACK","Back",
"$POPUP_YES","Yes",
"$POPUP_NO","No",
"$POPUP_CANCEL","Cancel",
"$POPUP_OK","Ok",
"$POPUP_BACK","Back",
"$POPUP_CLOSE","Close",
"$POPUP_BTN_2ND_POPUP","わかりました",
"$POPUP_BTN_2_BUTTONS","結構です",
"$POPUP_DEMO_0_TITLE","続く?",
"$POPUP_DEMO_0_BODY","ビデオを見てライフを追加しますか?",
"$POPUP_DEMO_1_TITLE","Popup - Demo 1",
"$POPUP_DEMO_1_BODY","A single pop-up instance can contain multiple layouts.",
"$POPUP_SIMPLE_TITLE","Another Popup!",
"$POPUP_SIMPLE_BODY","You can open multiple pop-ups!",
"$POPUP_DEMO_2_TITLE","Popup - Demo 2",
"$POPUP_DEMO_2_BODY","This popup uses FlxUIAsset's 'default_popup.xml' file",
