"flag","content",
"$TITLE_START_LABEL","시작",
"$TITLE_PRESS_LABEL","시작하려면 터치하세요.",
"$TITLE_GAMEOVER","게임 오버",
"$TITLE_MESSAGE_DEFAULT","남은시간 99",
"$TITLE_MESSAGE_INPUT","이름을 입력:",
"$TITLE_MESSAGE_TIME","시간",
"$TITLE_MESSAGE_OK","예",
"$TITLE_SCORERANKING","점수 순위",
"$TITLE_MAINMENU","메인 메뉴",
"$TITLE_LEADERBOARD","순위표",
"$TITLE_HIGHSCORE","최고점수",
"$TITLE_SCORE","점수",
"$TITLE_LEVEL","레벨",
"$SAVE_NEW_GAME+","New Game+",
"$SAVE_SLOT_1_MSG","Untextured 9-slice chrome w/ scaling",
"$SAVE_SLOT_2_MSG","Textured 9-slice chrome w/ tiling",
"$SAVE_SLOT_DATA","Mane Lionhair<N>Level 5",
"$SAVE_SLOT_TIME","10 hours, 15 min",
"$SAVE_SLOT_DATE","January 1, 1970",
"$MENU_THING_1","Thing 1",
"$MENU_THING_2","Thing 2",
"$MENU_1_FISH","One Fish",
"$MENU_2_FISH","Two Fish",
"$MENU_RED_FISH","Red Fish",
"$MENU_BLUE_FISH","Blue Fish",
"$MENU_TAB_1","Tab 1",
"$MENU_TAB_2","Tab 2",
"$MENU_TAB_3","Tab 3",
"$MENU_TAB_4","Tab 4",
"$MENU_TOGGLE","Toggle",
"$MENU_DROPDOWN","Drop-down",
"$DEFAULT_DESC","The widgets you see here use ONLY default FlxUI Assets!",
"$CODE_DESC","The widgets you see here were created with code and no xml file!",
"$MISC_BACK","Back",
"$POPUP_YES","Yes",
"$POPUP_NO","No",
"$POPUP_CANCEL","Cancel",
"$POPUP_OK","Ok",
"$POPUP_BACK","Back",
"$POPUP_CLOSE","Close",
"$POPUP_BTN_2ND_POPUP","예, 물론.",
"$POPUP_BTN_2_BUTTONS","아니오, 괜찮습니다.",
"$POPUP_DEMO_0_TITLE","계속 할까요?",
"$POPUP_DEMO_0_BODY","비디오를 보고 생명을 추가 할까요?",
"$POPUP_DEMO_1_TITLE","Popup - Demo 1",
"$POPUP_DEMO_1_BODY","A single pop-up instance can contain multiple layouts.",
"$POPUP_SIMPLE_TITLE","Another Popup!",
"$POPUP_SIMPLE_BODY","You can open multiple pop-ups!",
"$POPUP_DEMO_2_TITLE","Popup - Demo 2",
"$POPUP_DEMO_2_BODY","This popup uses FlxUIAsset's 'default_popup.xml' file",
