"flag","content",
"$TITLE_START_LABEL","START",
"$TITLE_PRESS_LABEL","PRESS ANYWHERE TO START",
"$TITLE_GAMEOVER","GAME OVER",
"$TITLE_MESSAGE_DEFAULT","TIME 99",
"$TITLE_MESSAGE_INPUT","ENTER YOUR NAME:",
"$TITLE_MESSAGE_TIME","TIME",
"$TITLE_MESSAGE_OK","OK",
"$TITLE_SCORERANKING","SCORE RANKING",
"$TITLE_MAINMENU","Main Menu",
"$TITLE_LEADERBOARD","Leaderboard",
"$TITLE_HIGHSCORE","HighScore",
"$TITLE_SCORE","Score",
"$TITLE_LEVEL","Level",
"$SAVE_NEW_GAME+","New Game+",
"$SAVE_SLOT_1_MSG","Untextured 9-slice chrome w/ scaling",
"$SAVE_SLOT_2_MSG","Textured 9-slice chrome w/ tiling",
"$SAVE_SLOT_DATA","Mane Lionhair<N>Level 5",
"$SAVE_SLOT_TIME","10 hours, 15 min",
"$SAVE_SLOT_DATE","January 1, 1970",
"$MENU_THING_1","Thing 1",
"$MENU_THING_2","Thing 2",
"$MENU_1_FISH","One Fish",
"$MENU_2_FISH","Two Fish",
"$MENU_RED_FISH","Red Fish",
"$MENU_BLUE_FISH","Blue Fish",
"$MENU_TAB_1","Tab 1",
"$MENU_TAB_2","Tab 2",
"$MENU_TAB_3","Tab 3",
"$MENU_TAB_4","Tab 4",
"$MENU_TOGGLE","Toggle",
"$MENU_DROPDOWN","Drop-down",
"$DEFAULT_DESC","The widgets you see here use ONLY default FlxUI Assets!",
"$CODE_DESC","The widgets you see here were created with code and no xml file!",
"$MISC_BACK","Back",
"$POPUP_YES","Yes",
"$POPUP_NO","No",
"$POPUP_CANCEL","Cancel",
"$POPUP_OK","Ok",
"$POPUP_BACK","Back",
"$POPUP_CLOSE","Close",
"$POPUP_BTN_2ND_POPUP","OK, sure",
"$POPUP_BTN_2_BUTTONS","No, thanks",
"$POPUP_DEMO_0_TITLE","Continue?",
"$POPUP_DEMO_0_BODY","Watch video for an extra life?",
"$POPUP_DEMO_1_TITLE","Popup - Demo 1",
"$POPUP_DEMO_1_BODY","A single pop-up instance can contain multiple layouts.",
"$POPUP_SIMPLE_TITLE","Another Popup!",
"$POPUP_SIMPLE_BODY","You can open multiple pop-ups!",
"$POPUP_DEMO_2_TITLE","Popup - Demo 2",
"$POPUP_DEMO_2_BODY","This popup uses FlxUIAsset's 'default_popup.xml' file",
